text,label
我想退貨，商品不符合期待，請問流程怎麼走？,退款退貨
昨天剛收到就想退，七天鑑賞期內可以嗎？,退款退貨
退貨要自己付運費嗎？可以到付嗎？,退款退貨
我已經申請退貨了，麻煩安排取件，謝謝,退款退貨
退貨單號哪裡看？我找不到欸,退款退貨
我要取消訂單並退款，還沒出貨,退款退貨
退貨後退款大概多久會入帳？,退款退貨
我按錯買了兩件，想退其中一件,退款退貨
商品有拆封但沒用，還能退嗎？,退款退貨
我想換貨不是退貨，可以嗎？,退款退貨
退貨被拒絕原因是什麼？我覺得不合理,退款退貨
我退貨寄回了，怎麼狀態還沒更新,退款退貨
取消訂單後為什麼還沒退款？,退款退貨
我想退費但已經超過七天了，有沒有例外？,退款退貨
退貨需要附發票嗎？我發票弄丟了,退款退貨
我收到的尺寸不對，想退回重買,退款退貨
請問可以部分退款嗎？少了一個配件,退款退貨
退款要退到原卡嗎？可以改退到其他帳戶？,退款退貨
我不小心重複付款，能退一筆嗎？,退款退貨
我已經寄回退貨了，麻煩確認收到沒,退款退貨
商品一開箱就壞了，完全不能用,退款退貨
收到有刮痕，這是新品嗎？,退款退貨
少了一個零件/配件，麻煩補寄,退款退貨
顏色跟網頁差很多，可以換嗎？,退款退貨
使用第二天就故障，想走保固,退款退貨
請問保固多久？需要登錄嗎？,退款退貨
商品有異味很重，懷疑品質問題,退款退貨
收到的規格跟我買的不一樣,退款退貨
我想維修，流程怎麼走？,退款退貨
按鍵卡住，操作不順，是不是瑕疵？,退款退貨
你們能提供檢測報告嗎？,退款退貨
螺絲鬆動，感覺用不到幾次就壞,退款退貨
商品漏水/滲水，這正常嗎？,退款退貨
收到就是二手的感覺，有使用痕跡,退款退貨
保固內送修要付費嗎？,退款退貨
能換新嗎？不想修,退款退貨
我有拍照，想申請瑕疵處理,退款退貨
商品尺寸不符描述，算瑕疵嗎？,退款退貨
使用一週後壞掉，這也太扯了吧,退款退貨
想問保固需要哪些資料/序號,退款退貨
請問我的包裹現在到哪了？一直顯示處理中,訂單物流
我下單三天了還沒出貨，可以幫我催嗎？,訂單物流
物流單號給我一下，我要查進度,訂單物流
已顯示簽收但我沒收到，是不是送錯？,訂單物流
可以改收件地址嗎？我填錯了,訂單物流
請問今天會到嗎？我急用,訂單物流
包裹被退回了，原因寫地址不完整,訂單物流
可以指定超商取貨嗎？,訂單物流
我想改成宅配，還來得及嗎？,訂單物流
我收到空包裹…裡面什麼都沒有,訂單物流
出貨了沒？我看不到出貨通知,訂單物流
物流顯示配送中但一整天沒動,訂單物流
你們有提供加急配送嗎？,訂單物流
同一筆訂單分兩箱寄，我只收到一箱,訂單物流
我不在家，能改約時間送嗎？,訂單物流
包裹外箱破損嚴重，裡面可能也壞了,訂單物流
為什麼運費變貴？我記得免運,訂單物流
我想查訂單狀態，但系統一直轉圈,訂單物流
可以幫我確認什麼時候出貨嗎？,訂單物流
已經一週了還沒到，麻煩協助處理,訂單物流
我信用卡刷不過，是系統問題嗎？,付款發票
我已付款但訂單顯示未付款,付款發票
可以用分期嗎？支援哪些銀行？,付款發票
我想改付款方式，怎麼操作？,付款發票
請問有提供統編發票嗎？,付款發票
發票可以開立公司抬頭嗎？,付款發票
我發票開錯了，能重開嗎？,付款發票
付款成功但沒有收到確認信,付款發票
我想用轉帳付款，有帳號嗎？,付款發票
你們支援LINE Pay/街口嗎？,付款發票
我被扣款兩次，請協助確認,付款發票
為什麼有一筆授權但沒有出貨？,付款發票
請問電子發票會寄到哪裡？,付款發票
我想查發票載具設定在哪,付款發票
可以拆單開兩張發票嗎？,付款發票
退款會退到哪裡？信用卡還是錢包？,付款發票
付款頁面一直錯誤，無法結帳,付款發票
我想申請付款證明/收據,付款發票
訂單金額怎麼跟結帳金額不同？,付款發票
海外卡可以刷嗎？一直被拒絕,付款發票
我忘記密碼了，收不到重設信,帳號其他
登入一直顯示錯誤，明明密碼沒錯,帳號其他
我想改綁定的手機號碼,帳號其他
會員資料在哪裡修改？,帳號其他
註冊時一直跳驗證失敗,帳號其他
我帳號被鎖了，怎麼解鎖？,帳號其他
可以幫我刪除帳號嗎？,帳號其他
我想改email，但找不到入口,帳號其他
為什麼一直被登出？,帳號其他
我的點數/會員等級不見了,帳號其他
我想查我的歷史訂單，但看不到,帳號其他
驗證碼一直收不到，是不是系統壞了,帳號其他
我用Google登入失敗，請協助,帳號其他
想換成Apple登入可以嗎？,帳號其他
我無法更新地址，按儲存沒反應,帳號其他
會員折扣沒有套用，怎麼回事,帳號其他
我想綁定載具但一直失敗,帳號其他
我之前用手機註冊，現在想用email登入,帳號其他
我的帳號疑似被盜用，有異常登入,帳號其他
請問會員中心在哪？我找不到入口,帳號其他
請問這個商品什麼時候補貨？,帳號其他
有沒有推薦的型號？我不知道怎麼選,帳號其他
你們客服電話幾點到幾點？,帳號其他
可以提供產品規格表嗎？,帳號其他
我想了解使用方法，有教學嗎？,帳號其他
請問有實體門市可以看嗎？,帳號其他
這個有保證正品嗎？,帳號其他
請問支援哪些尺寸/顏色？,帳號其他
有沒有優惠碼？或活動期間？,帳號其他
你們的退換貨規則在哪裡看？,帳號其他
可以開箱給我看嗎？我怕踩雷,帳號其他
這個適合送人嗎？包裝好看嗎？,帳號其他
我想要大量採購，有企業方案嗎？,帳號其他
請問可以客製化嗎？,帳號其他
這跟上一代差在哪？,帳號其他
我看不懂你們網站的說明,帳號其他
可以寄到離島嗎？,帳號其他
請問有提供試用嗎？,帳號其他
可以提供售後服務說明嗎？,帳號其他
在嗎？我有問題想問一下,帳號其他
可以改收件地址嗎？我填錯了,訂單物流
可以指定超商取貨嗎？,訂單物流
退貨單號哪裡看？我找不到欸,退款退貨
包裹外箱破損嚴重，裡面可能也壞了,訂單物流
商品有異味很重，懷疑品質問題,退款退貨
,訂單物流
   ,退款退貨
"

",付款發票
,帳號其他
我想退貨但!!! 真的很生氣!!! 😡😡,退款退貨
在嗎,帳號其他
？,訂單物流
我信用卡刷不過,
包裹顯示簽收但我沒收到,物流問題
   我想要大量採購，有企業方案嗎？   ,帳號其他
   可以拆單開兩張發票嗎？   ,付款發票
   海外卡可以刷嗎？一直被拒絕   ,付款發票
   我想改email，但找不到入口   ,帳號其他
   我之前用手機註冊，現在想用email登入   ,帳號其他
